epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,30511.5,1.04537,0.81356,1.06039,0.74856,0.91661,0.87001,0.59768,1.05711,0.74679,1.04589,0.000652047,0.000652047,0.000652047
125,30718.9,1.01035,0.84569,1.05813,0.74525,0.91051,0.86388,0.60121,1.03563,0.79118,1.04109,0.000643795,0.000643795,0.000643795
126,30909.9,1.00577,0.7918,1.0458,0.77533,0.89317,0.88953,0.61396,1.0822,0.74647,1.13814,0.000635544,0.000635544,0.000635544
127,31122.9,0.9934,0.77921,1.0518,0.7537,0.90746,0.86939,0.60826,1.05553,0.74984,1.1204,0.000627292,0.000627292,0.000627292
128,31339.2,1.01785,0.79269,1.05019,0.77839,0.90404,0.8896,0.61884,1.04129,0.71618,1.09232,0.00061904,0.00061904,0.00061904
129,31584.8,1.0249,0.83931,1.07877,0.74816,0.89036,0.86611,0.6039,1.04493,0.74385,1.0914,0.000610789,0.000610789,0.000610789
130,31840.9,1.0166,0.79963,1.06645,0.77428,0.90307,0.87757,0.61191,1.06042,0.7302,1.11716,0.000602537,0.000602537,0.000602537
131,32138.3,0.99103,0.77932,1.03356,0.76983,0.89153,0.87333,0.61739,1.03588,0.72549,1.11096,0.000594286,0.000594286,0.000594286
132,32334.8,1.03147,0.8111,1.05329,0.78927,0.91273,0.89939,0.62655,1.04653,0.71491,1.11366,0.000586034,0.000586034,0.000586034
133,32524.2,1.00334,0.83087,1.08029,0.76229,0.89229,0.87602,0.61993,1.03053,0.71947,1.09701,0.000577782,0.000577782,0.000577782
134,32847.4,0.99394,0.78161,1.04029,0.77754,0.92436,0.90328,0.63795,1.04955,0.68156,1.10817,0.000569531,0.000569531,0.000569531
135,33119.6,1.02558,0.79894,1.06506,0.78008,0.91156,0.89983,0.62968,1.0494,0.71367,1.10555,0.000561279,0.000561279,0.000561279
136,33400.4,1.0078,0.77625,1.03326,0.78921,0.91287,0.90754,0.63728,1.02348,0.69496,1.08421,0.000553027,0.000553027,0.000553027
137,33626,0.9895,0.83394,1.07613,0.79336,0.89593,0.90171,0.63504,1.04396,0.69437,1.09699,0.000544776,0.000544776,0.000544776
138,33960.4,0.97525,0.74077,1.0354,0.81393,0.87479,0.9052,0.64271,1.03241,0.68622,1.09762,0.000536524,0.000536524,0.000536524
139,34285.4,0.97494,0.81238,1.05852,0.75983,0.91209,0.88701,0.62559,1.03879,0.74103,1.09091,0.000528272,0.000528272,0.000528272
140,34508.8,0.96647,0.77646,1.0363,0.76203,0.8947,0.88882,0.62769,1.02969,0.69493,1.08831,0.000520021,0.000520021,0.000520021
141,34857,1.01126,0.79977,1.05284,0.79405,0.89589,0.91426,0.63435,1.00759,0.67037,1.06545,0.000511769,0.000511769,0.000511769
142,35091.2,0.99438,0.78232,1.03641,0.76847,0.90461,0.88768,0.62456,1.01911,0.68188,1.07105,0.000503517,0.000503517,0.000503517
143,35309.7,0.98271,0.78813,1.05152,0.77851,0.91754,0.90797,0.64163,1.02599,0.67466,1.09754,0.000495266,0.000495266,0.000495266
144,35543,0.97534,0.81412,1.04857,0.76448,0.90524,0.88447,0.63293,1.03085,0.68044,1.09059,0.000487014,0.000487014,0.000487014
145,35781.2,0.98963,0.77501,1.04328,0.78043,0.89239,0.90055,0.64132,1.03042,0.68271,1.08715,0.000478762,0.000478762,0.000478762
146,36063.4,0.97131,0.78075,1.03969,0.74981,0.9104,0.87368,0.61937,1.04513,0.71672,1.10063,0.000470511,0.000470511,0.000470511
147,36397.2,0.99559,0.7772,1.04626,0.81266,0.9022,0.90495,0.63121,1.04124,0.68403,1.07295,0.000462259,0.000462259,0.000462259
148,36647.5,0.97604,0.77762,1.04296,0.77901,0.90801,0.90358,0.6325,1.03915,0.70339,1.09095,0.000454007,0.000454007,0.000454007
149,36920.3,0.98406,0.77726,1.04243,0.77978,0.90148,0.89544,0.6343,1.04255,0.68404,1.11367,0.000445756,0.000445756,0.000445756
150,37156.1,0.99926,0.8317,1.05112,0.84769,0.84947,0.90996,0.64395,1.02415,0.66809,1.07109,0.000437504,0.000437504,0.000437504
151,37464.6,0.95964,0.77467,1.04219,0.81454,0.87236,0.89736,0.63288,1.02952,0.69417,1.0586,0.000429253,0.000429253,0.000429253
152,37731.2,0.97834,0.74936,1.04409,0.80203,0.88796,0.89043,0.62697,1.05031,0.69868,1.08905,0.000421001,0.000421001,0.000421001
153,37998.4,0.96999,0.76434,1.04188,0.8039,0.87925,0.87644,0.61291,1.04962,0.71141,1.11324,0.000412749,0.000412749,0.000412749
154,38224.8,0.98006,0.78542,1.04429,0.81383,0.89505,0.89626,0.63503,1.04698,0.7089,1.11654,0.000404498,0.000404498,0.000404498
155,38548.3,0.91803,0.7214,1.01004,0.81675,0.8885,0.88896,0.62875,1.03457,0.69908,1.10423,0.000396246,0.000396246,0.000396246
156,38782.4,0.96319,0.80962,1.0634,0.80803,0.89257,0.90839,0.64738,1.02047,0.67709,1.1182,0.000387994,0.000387994,0.000387994
157,39057.4,0.96186,0.75172,1.02655,0.82242,0.88413,0.88096,0.6258,1.03107,0.68236,1.12047,0.000379743,0.000379743,0.000379743
158,39330,0.97658,0.79098,1.04252,0.82955,0.87879,0.89714,0.63119,1.02324,0.67987,1.12495,0.000371491,0.000371491,0.000371491
159,39666.9,0.95327,0.75688,1.02747,0.77884,0.91134,0.88061,0.62471,1.00356,0.68622,1.09519,0.000363239,0.000363239,0.000363239
160,39840.9,0.94165,0.72113,1.00416,0.83665,0.89525,0.89731,0.63649,1.02281,0.6645,1.10996,0.000354988,0.000354988,0.000354988
161,40003.7,0.95222,0.76691,1.0293,0.83231,0.89192,0.9001,0.6323,1.04841,0.67417,1.11769,0.000346736,0.000346736,0.000346736
162,40310.1,0.97613,0.77636,1.03473,0.81345,0.88866,0.89014,0.63404,1.03182,0.67874,1.13305,0.000338484,0.000338484,0.000338484
163,40500,0.94279,0.73371,1.01695,0.86534,0.89324,0.89579,0.63329,1.02707,0.67456,1.12119,0.000330233,0.000330233,0.000330233
164,40719.1,0.94091,0.74855,1.02588,0.86361,0.9074,0.90584,0.63539,1.04136,0.68297,1.13496,0.000321981,0.000321981,0.000321981
165,40994.8,0.95398,0.75869,1.03534,0.85159,0.90649,0.89526,0.63201,1.03643,0.6764,1.12566,0.000313729,0.000313729,0.000313729
166,41271.9,0.95768,0.75652,1.04057,0.87999,0.89914,0.92188,0.64768,1.02341,0.65484,1.09573,0.000305478,0.000305478,0.000305478
167,41520.1,0.93951,0.7038,1.00801,0.83547,0.89827,0.88415,0.63187,1.00752,0.68352,1.12204,0.000297226,0.000297226,0.000297226
168,41783.8,0.93008,0.71883,0.98516,0.86411,0.89729,0.89501,0.63499,1.02162,0.65918,1.11844,0.000288974,0.000288974,0.000288974
169,42008.3,0.91456,0.70503,1.0102,0.85757,0.9197,0.89221,0.63722,1.0229,0.6673,1.1162,0.000280723,0.000280723,0.000280723
170,42220,0.94632,0.74556,1.02998,0.90897,0.91488,0.92274,0.65024,1.02869,0.62961,1.12145,0.000272471,0.000272471,0.000272471
171,42500,0.95457,0.72802,1.02442,0.8906,0.92218,0.91274,0.6486,1.01305,0.63914,1.09977,0.00026422,0.00026422,0.00026422
172,42823.5,0.94808,0.71819,1.02036,0.91204,0.92666,0.92086,0.65167,1.01592,0.62277,1.10016,0.000255968,0.000255968,0.000255968
173,43041.2,0.92745,0.7115,1.01595,0.87667,0.9268,0.88598,0.62429,1.02291,0.66983,1.10435,0.000247716,0.000247716,0.000247716
174,43269,0.91773,0.69289,1.01452,0.9178,0.91929,0.92297,0.65317,1.02117,0.61873,1.0981,0.000239465,0.000239465,0.000239465
175,43568.5,0.92543,0.68229,1.01737,0.86269,0.914,0.90944,0.65338,1.00178,0.64992,1.09764,0.000231213,0.000231213,0.000231213
176,43729.8,0.93006,0.73836,1.04004,0.90083,0.92254,0.91588,0.65591,1.00442,0.62564,1.09544,0.000222961,0.000222961,0.000222961
177,44003.9,0.92652,0.67789,1.00986,0.90109,0.92902,0.91468,0.65194,1.00509,0.62496,1.08636,0.00021471,0.00021471,0.00021471
178,44186,0.92972,0.69677,1.01533,0.89089,0.92289,0.91542,0.65125,1.01291,0.64543,1.08426,0.000206458,0.000206458,0.000206458
179,44373.1,0.93151,0.72551,1.02703,0.90347,0.92752,0.91192,0.64501,1.00651,0.63207,1.0716,0.000198206,0.000198206,0.000198206
